id,headlines,target
0,"‘Obviously I don’t think women are any less intelligent than men,’ crypto exchange Kraken CEO says, after New York Times report said he called American women ‘brainwashed’",1.0
1,Layoffs hit crypto and real estate tech particularly hard this week,1.0
2,A brief recap of one of the worst weeks in crypto history,1.0
3,Wells Fargo economist likens crypto collapse to the dot-com bust,1.0
4,Crypto's Excruciating Week Has Traders Bracing for Next Crisis,1.0
5,"Interest rate hike, bear market, crypto crash, and more happened this week. This is what it means.",1.0
6,"Forget Crypto Winter. In Biotech, It’s Been Freezing for Months",1.0
7,Bitcoin hits lowest since December '20 amid 'throes of crypto winter',1.0
8,The Yeti Yacht Club Project Wishes to Captivate Luxury and NFT Fans,1.0
9,Market Wrap: Bitcoin Heads for Worst Week in Year,1.0
10,"Stocks log worst week since March 2020, S&P 500 falls 5.8%",1.0
11,FBI Says LinkedIn Is Being Used for Crypto Scams: Report,1.0
12,Bitcoin Struggles at $20K As NEXO Falls by 84% to 18-Month Lows,1.0
13,"Crypto Has a Crazy Week, With Bitcoin Dropping and Celsius Freezing",1.0
14,FBI warns crypto fraud on LinkedIn is a 'significant threat',1.0
15,"TechCrunch+ roundup: Food tech smorgasbord, VCs squeeze crypto founders, startup layoffs 101",1.0
16,"Covering – Crypto Price Analysis June 17: SHIB, RUNE, LINK, DOT, ETC",1.0
17,A Crypto Bankruptcy Could Be Investors’ Nightmare,1.0
18,GBTC Premium Hits all-time low as Bitcoin Price Lingers Around $20K,1.0
19,Federal Reserve Board: Recent Market Turmoil Shows ‘Structural Fragilities’ of Crypto,1.0
20,NFT Platform Immutable Launches $500M Venture Fund for Web3 Games,1.0
21,"Amid Cryptocurrency Price Meltdown, Players Look For Next Catalysts",1.0
22,Former SEC Chair Jay Clayton Talks Rapidly Evolving Crypto Regulation Landscape,1.0
23,The ‘Crypto Winter’ Could a Become ‘Crypto Hell.’ What to Know.,1.0
24,"Bitfarms Looks to Boost Liquidity With Sale of 1,500 Bitcoin, New Loan",1.0
25,"Celsius CEO to hold a YouTube 'Ask me anything' on Friday, first since the crypto lender paused withdrawals",1.0
26,Crypto Tumult Spreads as Lender Babel Puts Freeze on Withdrawals,1.0
27,Panamanian President Partially Vetoes Crypto Regulation Legislation,1.0
28,WISeKey Forges NFT Collaboration With The China Museum Of Finance,1.0
29,"Inside LVMH-backed VivaTech: Blockchain, Crypto and VR Fashion Shows are the Future",1.0
30,"Weekend reads: Your guide to bear markets for stocks, crypto and, soon, housing",1.0
31,Crypto-friendly Signature Bank’s stock wraps up another week of losses,1.0
32,"Bitcoin and ETH At Clear Risk, Doge Could Nosedive",1.0
33,"As the Crypto Winter Hits Its Peers, Chicago Trading Firm Jump Is Ready for More Bets",1.0
34,"Days after Celsius paused withdrawals, another crypto lender Babel Finance followed suit",1.0
35,FBI warns of consumer threat from 'significant' crypto fraud on LinkedIn,1.0
36,Ripple leads way as most big cryptocurrencies post gains,1.0
37,You think crypto winter has battered Bitcoin investors? Talk to a Bitcoin miner,1.0
38,Babel Finance suspends withdrawals as crypto markets slump,1.0
39,Crypto Suffers Another Blow: Babel Finance Freezes Withdrawals,1.0
40,"Crypto Hedge Fund Three Arrows Capital Considers Asset Sales, Bailout",1.0
41,Bitcoin Recovers Over $21K as Fed Commits to Slow Inflation; Traders Remain Cautious,1.0
42,Sticker Culture NFT “META PYLON” will Launch the World’s First Sticker Feature,1.0
43,"Morning Crypto Briefing: Bitcoin Price Consolidates Near $21,000 Amid Further Signs of DeFi Stress",1.0
44,Bitcoin and Ethereum Are Falling Further. More Crypto Firms Are Under Pressure.,1.0
45,"Gold Prices Are Holding Up as Stocks, Bonds, and Crypto Plunge",1.0
46,Crypto Traders Turn Against Each Other in a Collapsing Market,1.0
47,Bitcoin vs. Litecoin: What's the Difference?,1.0
48,Should you buy the bitcoin crash? Even some crypto bulls are saying 'Not yet.',1.0
49,"5 Most Popular Cryptos of the Week: DOGE, SOL, ADA, SFM, CEL",1.0
